Library	ORF 	Plate	Row	Column	Notes
ConorLib	MRE11	2	8	5	
ConorLib	MRE11	2	8	6	
ConorLib	MRE11	2	8	7	
ConorLib	MRE11	2	8	8	
ConorLib	MRE11	2	8	9	
ConorLib	MRE11	2	8	10	
ConorLib	MRE11	2	8	11	
ConorLib	MRE11	2	8	12	
ConorLib	HIS3	3	1	1	
ConorLib	HIS3	3	1	2	
ConorLib	HIS3	3	1	3	
ConorLib	HIS3	3	1	4	
ConorLib	HIS3	3	1	5	
ConorLib	HIS3	3	1	6	
ConorLib	HIS3	3	1	7	
ConorLib	HIS3	3	1	8	
ConorLib	HIS3	3	1	9	
ConorLib	HIS3	3	1	10	
ConorLib	HIS3	3	1	11	
ConorLib	HIS3	3	1	12	
ConorLib	HTZ1	3	2	1	
ConorLib	HTZ1	3	2	2	
ConorLib	HTZ1	3	2	3	
ConorLib	HTZ1	3	2	4	
ConorLib	HTZ1	3	2	5	
ConorLib	HTZ1	3	2	6	
ConorLib	HTZ1	3	2	7	
ConorLib	HTZ1	3	2	8	
ConorLib	HTZ1	3	2	9	
ConorLib	HTZ1	3	2	10	
ConorLib	HTZ1	3	2	11	
ConorLib	HTZ1	3	2	12	
ConorLib	HIS3	3	3	1	
ConorLib	HIS3	3	3	2	
ConorLib	HIS3	3	3	3	
ConorLib	HIS3	3	3	4	
ConorLib	HIS3	3	3	5	
ConorLib	HIS3	3	3	6	
ConorLib	HIS3	3	3	7	
ConorLib	HIS3	3	3	8	
ConorLib	HIS3	3	3	9	
ConorLib	HIS3	3	3	10	
ConorLib	HIS3	3	3	11	
ConorLib	HIS3	3	3	12	
ConorLib	HTZ1	3	4	1	
ConorLib	HTZ1	3	4	2	
ConorLib	HTZ1	3	4	3	
ConorLib	HTZ1	3	4	4	
ConorLib	HTZ1	3	4	5	
ConorLib	HTZ1	3	4	6	
ConorLib	HTZ1	3	4	7	
ConorLib	HTZ1	3	4	8	
ConorLib	HTZ1	3	4	9	
ConorLib	HTZ1	3	4	10	
ConorLib	HTZ1	3	4	11	
ConorLib	HTZ1	3	4	12	
ConorLib	HIS3	3	5	1	
ConorLib	HIS3	3	5	2	
ConorLib	HIS3	3	5	3	
ConorLib	HIS3	3	5	4	
ConorLib	HIS3	3	5	5	
ConorLib	HIS3	3	5	6	
ConorLib	HIS3	3	5	7	
ConorLib	HIS3	3	5	8	
ConorLib	HIS3	3	5	9	
ConorLib	HIS3	3	5	10	
ConorLib	HIS3	3	5	11	
ConorLib	HIS3	3	5	12	
ConorLib	HTZ1	3	6	1	
ConorLib	HTZ1	3	6	2	
ConorLib	HTZ1	3	6	3	
ConorLib	HTZ1	3	6	4	
ConorLib	HTZ1	3	6	5	
ConorLib	HTZ1	3	6	6	
ConorLib	HTZ1	3	6	7	
ConorLib	HTZ1	3	6	8	
ConorLib	HTZ1	3	6	9	
ConorLib	HTZ1	3	6	10	
ConorLib	HTZ1	3	6	11	
ConorLib	HTZ1	3	6	12	
ConorLib	HIS3	3	7	1	
ConorLib	HIS3	3	7	2	
ConorLib	HIS3	3	7	3	
ConorLib	HIS3	3	7	4	
ConorLib	HIS3	3	7	5	
ConorLib	HIS3	3	7	6	
ConorLib	HIS3	3	7	7	
ConorLib	HIS3	3	7	8	
ConorLib	HIS3	3	7	9	
ConorLib	HIS3	3	7	10	
ConorLib	HIS3	3	7	11	
ConorLib	HIS3	3	7	12	
ConorLib	HTZ1	3	8	1	
ConorLib	HTZ1	3	8	2	
ConorLib	HTZ1	3	8	3	
ConorLib	HTZ1	3	8	4	
ConorLib	HTZ1	3	8	5	
ConorLib	HTZ1	3	8	6	
ConorLib	HTZ1	3	8	7	
ConorLib	HTZ1	3	8	8	
ConorLib	HTZ1	3	8	9	
ConorLib	HTZ1	3	8	10	
ConorLib	HTZ1	3	8	11	
ConorLib	HTZ1	3	8	12	
ConorLib	HIS3	4	1	1	
ConorLib	HIS3	4	1	2	
ConorLib	HIS3	4	1	3	
ConorLib	HIS3	4	1	4	
ConorLib	HIS3	4	1	5	
ConorLib	HIS3	4	1	6	
ConorLib	HIS3	4	1	7	
ConorLib	HIS3	4	1	8	
ConorLib	HIS3	4	1	9	
ConorLib	HIS3	4	1	10	
ConorLib	HIS3	4	1	11	
ConorLib	HIS3	4	1	12	
ConorLib	PUF6	4	2	1	
ConorLib	PUF6	4	2	2	
ConorLib	PUF6	4	2	3	
ConorLib	PUF6	4	2	4	
ConorLib	PUF6	4	2	5	
ConorLib	PUF6	4	2	6	
ConorLib	PUF6	4	2	7	
ConorLib	PUF6	4	2	8	
ConorLib	PUF6	4	2	9	
ConorLib	PUF6	4	2	10	
ConorLib	PUF6	4	2	11	
ConorLib	PUF6	4	2	12	
ConorLib	HIS3	4	3	1	
ConorLib	HIS3	4	3	2	
ConorLib	HIS3	4	3	3	
ConorLib	HIS3	4	3	4	
ConorLib	HIS3	4	3	5	
ConorLib	HIS3	4	3	6	
ConorLib	HIS3	4	3	7	
ConorLib	HIS3	4	3	8	
ConorLib	HIS3	4	3	9	
ConorLib	HIS3	4	3	10	
ConorLib	HIS3	4	3	11	
ConorLib	HIS3	4	3	12	
ConorLib	PUF6	4	4	1	
ConorLib	PUF6	4	4	2	
ConorLib	PUF6	4	4	3	
ConorLib	PUF6	4	4	4	
ConorLib	PUF6	4	4	5	
ConorLib	PUF6	4	4	6	
ConorLib	PUF6	4	4	7	
ConorLib	PUF6	4	4	8	
ConorLib	PUF6	4	4	9	
ConorLib	PUF6	4	4	10	
ConorLib	PUF6	4	4	11	
ConorLib	PUF6	4	4	12	
ConorLib	HIS3	4	5	1	
ConorLib	HIS3	4	5	2	
ConorLib	HIS3	4	5	3	
ConorLib	HIS3	4	5	4	
ConorLib	HIS3	4	5	5	
ConorLib	HIS3	4	5	6	
ConorLib	HIS3	4	5	7	
ConorLib	HIS3	4	5	8	
ConorLib	HIS3	4	5	9	
ConorLib	HIS3	4	5	10	
ConorLib	HIS3	4	5	11	
ConorLib	HIS3	4	5	12	
ConorLib	PUF6	4	6	1	
ConorLib	PUF6	4	6	2	
ConorLib	PUF6	4	6	3	
ConorLib	PUF6	4	6	4	
ConorLib	PUF6	4	6	5	
ConorLib	PUF6	4	6	6	
ConorLib	PUF6	4	6	7	
ConorLib	PUF6	4	6	8	
ConorLib	PUF6	4	6	9	
ConorLib	PUF6	4	6	10	
ConorLib	PUF6	4	6	11	
ConorLib	PUF6	4	6	12	
ConorLib	HIS3	4	7	1	
ConorLib	HIS3	4	7	2	
ConorLib	HIS3	4	7	3	
ConorLib	HIS3	4	7	4	
ConorLib	HIS3	4	7	5	
ConorLib	HIS3	4	7	6	
ConorLib	HIS3	4	7	7	
ConorLib	HIS3	4	7	8	
ConorLib	HIS3	4	7	9	
ConorLib	HIS3	4	7	10	
ConorLib	HIS3	4	7	11	
ConorLib	HIS3	4	7	12	
ConorLib	PUF6	4	8	1	
ConorLib	PUF6	4	8	2	
ConorLib	PUF6	4	8	3	
ConorLib	PUF6	4	8	4	
ConorLib	PUF6	4	8	5	
ConorLib	PUF6	4	8	6	
ConorLib	PUF6	4	8	7	
ConorLib	PUF6	4	8	8	
ConorLib	PUF6	4	8	9	
ConorLib	PUF6	4	8	10	
ConorLib	PUF6	4	8	11	
ConorLib	PUF6	4	8	12	
ConorLib	HIS3	5	1	1	
ConorLib	HIS3	5	1	2	
ConorLib	HIS3	5	1	3	
ConorLib	HIS3	5	1	4	
ConorLib	HIS3	5	1	5	
ConorLib	HIS3	5	1	6	
ConorLib	HIS3	5	1	7	
ConorLib	HIS3	5	1	8	
ConorLib	HIS3	5	1	9	
ConorLib	HIS3	5	1	10	
ConorLib	HIS3	5	1	11	
ConorLib	HIS3	5	1	12	
ConorLib	RAD52	5	2	1	
ConorLib	RAD52	5	2	2	
ConorLib	RAD52	5	2	3	
ConorLib	RAD52	5	2	4	
ConorLib	RAD52	5	2	5	
ConorLib	RAD52	5	2	6	
ConorLib	RAD52	5	2	7	
ConorLib	RAD52	5	2	8	
ConorLib	RAD52	5	2	9	
ConorLib	RAD52	5	2	10	
ConorLib	RAD52	5	2	11	
ConorLib	RAD52	5	2	12	
ConorLib	HIS3	5	3	1	
ConorLib	HIS3	5	3	2	
ConorLib	HIS3	5	3	3	
ConorLib	HIS3	5	3	4	
ConorLib	HIS3	5	3	5	
ConorLib	HIS3	5	3	6	
ConorLib	HIS3	5	3	7	
ConorLib	HIS3	5	3	8	
ConorLib	HIS3	5	3	9	
ConorLib	HIS3	5	3	10	
ConorLib	HIS3	5	3	11	
ConorLib	HIS3	5	3	12	
ConorLib	RAD52	5	4	1	
ConorLib	RAD52	5	4	2	
ConorLib	RAD52	5	4	3	
ConorLib	RAD52	5	4	4	
ConorLib	RAD52	5	4	5	
ConorLib	RAD52	5	4	6	
ConorLib	RAD52	5	4	7	
ConorLib	RAD52	5	4	8	
ConorLib	RAD52	5	4	9	
