Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
24	1	3496.5	282.0	136	0.021562082331843369	0.2239863604880388	0.013395854550677195	0.034008238593227866	0.0072127214068009758	0.0038905903376365704	0.27663663768866131	0.023283073152538761	100.13392007611799	110.99952426260704	108.57730732635585	85.238448335049782	98.823206316512184	100.10374184689324	93.0	104.0	104.0	84.0	97.0	99.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
1	2	350.5	418.0	136	0.0	0.2251585060472055	0.0	-0.011501578492786223	2.4104671847720057e-05	-0.0084310015071091399	5900.6091351424293	0.00015983803079546059	76.349503076194978	94.284193090392804	99.477283483199244	77.615966444337488	94.952416970363743	99.479818469366705	76.0	94.0	100.0	77.0	95.0	99.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
2	2	479.5	421.0	136	0.0	0.86802706590654799	0.0	-0.005513341523193699	2.4482497319473685e-05	-0.0059172805646305867	0.0	0.0	76.256751780014724	95.851276700220964	101.97618463049349	76.285022204279372	95.680258377069038	101.80581348405329	76.0	96.0	102.0	76.0	96.0	102.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
3	2	624.5	418.0	136	0.0046359562644767436	0.25531461452394905	0.0010674099649403605	0.0041415525389233345	1.5567630241303392e-05	0.0041846960170176979	0.0	0.0	78.363105175292148	98.621035058430721	104.9901919866444	78.633540817056598	98.719181512484795	105.14280603849181	78.0	99.0	105.0	79.0	99.0	105.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
4	2	761.5	418.0	136	0.012057800827208117	0.26676967339762375	0.0033153306625182217	0.011984689793825295	1.7535612464236767e-05	0.011345466208883506	0.0	0.0	80.12702216896345	100.81685640103855	107.50429398841622	79.889260281935762	100.74516785350967	107.36862374654847	80.0	101.0	107.0	80.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
5	2	889.5	430.0	136	0.014364360471730038	0.41600511481698543	0.0060321199363149768	0.014094501614061202	1.3352772781934613e-05	0.014094501614061202	0.0	0.0	79.983094262295083	101.73706454918033	107.77920081967213	79.910957029468108	101.68278441748015	107.72794453060853	80.0	102.0	108.0	80.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
6	2	1026.5	426.0	136	0.016521449366020895	0.35143055037561938	0.0058050542300936737	0.015949401899370639	1.2509644590626862e-05	0.015949401899370639	0.0	0.0	80.218010915706486	102.39842328684051	108.2721346270467	80.087324406473343	102.47178181220734	108.24784358826912	80.0	102.0	108.0	80.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
7	2	1171.5	418.0	136	0.018083975802161194	0.28051574404603336	0.0050699693466653298	0.018016070241512184	1.3929806823235785e-05	0.018016070241512184	0.0	0.0	80.029439696106365	103.1346628679962	108.45489078822412	80.15906398104265	103.0675355450237	108.49237263033176	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
8	2	1308.5	418.0	136	0.017753417108301243	0.0095370025041291492	0.00016825248920646348	0.017972926763417819	9.810794824962326e-06	0.018016070241512184	0.0	0.0	79.871508379888269	102.99441340782123	108.62569832402235	80.011726734803659	103.03636363636363	108.29338353953739	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
9	2	1436.5	419.0	136	0.017010891442180799	0.27918376045607118	0.0048484139592115047	0.017972926763417819	1.3665110809149278e-05	0.015949401899370639	0.0	0.0	80.018702290076334	102.92022900763359	108.00496183206107	79.769088624436392	102.89659250498929	107.67817281395521	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
10	2	1581.5	418.0	136	0.014691222189968302	0.43118972774255421	0.0064148262098620195	0.015012153220602257	1.354465848395732e-05	0.014733725199002993	0.0	0.0	79.285555418262703	102.37761028048931	107.15358952180897	79.243068565005615	102.27463469464219	107.0645372798801	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
11	2	1712.5	422.0	136	0.013328188718782625	0.31029889711758751	0.0037901853300199633	0.011984689793825295	1.5744655917849081e-05	0.014094501614061202	0.0	0.0	78.67307692307692	101.63616071428571	106.62242445054945	78.987408265739674	102.09694862881422	107.03684820393974	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
12	2	1848.5	421.0	136	0.016791116682822262	0.24412595236826681	0.004535173445101467	0.015906258421276277	0.0003856047383641901	0.015906258421276277	4.5901714090396784	0.0059672864830305292	80.071366215626369	103.45002182453078	107.84722828459188	79.421583139493904	102.85070839500952	107.35194191865793	79.0	103.0	107.0	79.0	103.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
13	2	1986.5	421.0	136	0.016821820960608865	0.68602482817411692	0.011490791953646306	0.015906258421276277	1.3295249528812981e-05	0.015949401899370639	0.0	0.0	79.302345448897171	103.13598943771358	107.39367816091954	79.475649075173934	103.14865094179535	107.38689971152215	79.0	103.0	107.0	79.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
14	2	2122.5	418.0	136	0.014264284717114507	0.20107624274068944	0.0028554963834465058	0.014733725199002993	1.2646889356655603e-05	0.014733725199002993	0.0	0.0	79.021727609962909	102.24642289348172	107.00900900900901	78.920106702234079	102.32537512504167	107.04601533844615	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
15	2	2256.5	421.0	136	0.013993599436751509	0.56049869465608182	0.0078666418026486062	0.014094501614061202	1.4223332139201797e-05	0.014094501614061202	0.0	0.0	79.116730038022808	102.11216730038022	107.07984790874525	79.135046672323924	102.0320038792581	107.23348284640562	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
16	2	2402.5	418.0	136	0.015766969396493875	0.14934200010655868	0.0023575322275108121	0.015906258421276277	1.3214244115781294e-05	0.015906258421276277	0.0	0.0	79.464145558330358	102.58972529432751	107.62647163753121	79.532005511712384	102.54221470625079	107.64274082425153	79.0	103.0	108.0	79.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
17	2	2661.5	418.0	136	0.015384342661581169	0.75182481751824815	0.01157914993819105	0.015137634321245638	1.6280688488507284e-05	0.015180777799340002	0.0	0.0	79.4760824888385	102.34809722911204	107.97873999007867	79.564405324173464	102.2808072133963	107.93988836410476	79.0	102.0	108.0	79.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
18	2	2662.5	417.0	136	0.015396147294095018	0.75294368373381637	0.011601698398302171	0.015137634321245638	1.6287583558319273e-05	0.015180777799340002	0.0	0.0	79.476790263232374	102.35097650721767	107.97785168412115	79.565451800733229	102.28401984041406	107.97864998921716	79.0	102.0	108.0	79.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
19	2	2795.5	425.0	136	0.01354336725131941	0.25584740795993394	0.0035199042390181875	0.01405135813596684	1.209386338100295e-05	0.01405135813596684	0.0	0.0	79.152019991670144	101.79945855893378	107.97730112453145	79.138111262261049	101.71590176845422	107.79938426290542	79.0	102.0	108.0	79.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
20	2	2943.5	416.0	136	0.012031414991134444	0.64420054344930466	0.0078137191140580965	0.011345466208883506	1.3545915699677012e-05	0.011259209171889021	0.0	0.0	79.137126788520391	101.17012654040195	107.61417583326441	78.803983228511527	101.25082359988021	107.45687331536388	79.0	101.0	107.0	79.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
21	2	3086.5	418.0	136	0.0047835966913819319	0.15754701902072565	0.00056320060773833462	0.0032239009323822808	2.1591709248392053e-05	0.0062082208810648794	0.0	0.0	77.782888062225226	98.552925262089957	105.50727088265134	77.97666329370098	99.021502656210473	105.79578800910701	78.0	98.0	105.0	78.0	99.0	106.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
22	2	3223.5	418.0	136	0.0	0.22872822206830412	0.0	-0.005513341523193699	1.8657313066691573e-05	-0.0082623769283713955	0.0	0.0	75.776147216398783	95.922431865828088	102.52923363615187	75.349613152804636	95.53357281016855	102.2341116330478	76.0	96.0	102.0	75.0	96.0	102.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
23	2	3347.5	418.0	136	0.0	0.31013905908679207	0.0	-0.017278047405546639	1.5539363889336511e-05	-0.017278047405546639	0.0	0.0	73.164576533241714	92.754509534444253	99.024566225734404	73.25525177633611	92.796725362990429	99.064102564102569	73.0	93.0	99.0	73.0	93.0	99.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
24	2	3496.5	418.0	136	0.0	0.18173584101443871	0.0	-0.016274138762011101	2.033525192839112e-05	-0.016230995283916739	0.0	0.0	75.511580181764884	92.51216652008209	96.59982409850484	75.989321526240403	92.605287146763899	96.396340669357983	75.0	93.0	97.0	76.0	93.0	96.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
1	3	354.5	568.0	136	0.0	0.12563269220523204	0.0	-0.011501578492786223	2.0070885823733887e-05	-0.0087094295287084046	0.0	0.0	75.734096692111962	94.487277353689564	100.46055979643766	76.436597404180119	94.868746572420932	100.53068064103346	75.0	94.0	100.0	76.0	95.0	101.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
2	3	487.5	555.0	136	0.0	0.12914912888273217	0.0	-0.0018270574392476209	1.5440668555849141e-05	-0.0019957119371796063	0.0	0.0	77.3766501650165	96.648927392739267	102.98473597359735	77.079045579687971	96.72113796267972	102.92639951055368	77.0	97.0	103.0	77.0	97.0	103.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
3	3	624.5	555.0	136	0.0053838019918204614	0.21620757632265972	0.0012944999721094586	0.006251364359159242	1.4175563032004656e-05	0.0062082208810648794	0.0	0.0	78.77649088220798	99.084277969443079	105.56160670280927	78.581673577594998	98.910067296580792	105.24729794031677	79.0	99.0	105.0	79.0	99.0	105.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
4	3	759.5	559.0	136	0.012028470715424925	0.21349032979913687	0.0025929674990458999	0.011984689793825295	1.4549693980021018e-05	0.011345466208883506	0.0	0.0	79.677564262540557	100.95682555527826	107.3314200149738	79.791085218805037	100.85692995529061	107.21494377455629	80.0	101.0	107.0	80.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
5	3	895.5	553.0	136	0.014567946677041786	0.13687463370451275	0.0020203078694696697	0.014733725199002993	1.2982886162606989e-05	0.014094501614061202	0.0	0.0	79.937329700272485	101.82522382249903	108.02724795640327	79.859814814814811	101.81253086419753	107.79746913580247	80.0	102.0	108.0	80.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
6	3	1021.5	560.0	136	0.016377941132290266	0.34535670520539186	0.0058142606819998081	0.015949401899370639	1.5502363695923375e-05	0.015906258421276277	0.0	0.0	80.146868250539953	102.61678494291885	108.04381363776612	80.002604378611537	102.41149182062343	107.91576462928298	80.0	103.0	108.0	80.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
7	3	1171.5	555.0	136	0.016890107490843399	0.29927007299270075	0.0051882390650266246	0.017972926763417819	1.2938664366571076e-05	0.015949401899370639	0.0	0.0	80.046644116076195	102.91418906889798	107.89549581627203	79.860705596107053	102.75996046228711	107.75296532846716	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
8	3	1308.5	555.0	136	0.017222780600892943	0.017422345356705206	0.00030514123075741116	0.017972926763417819	9.4025081505794479e-06	0.015949401899370639	0.0	0.0	79.850152905198783	103.18654434250764	107.40672782874617	79.948595597006829	102.96730289556447	107.61365361674439	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
9	3	1445.5	554.0	136	0.016926894999650242	0.19111300548777238	0.0033652849742944009	0.017972926763417819	1.3890612295727244e-05	0.015949401899370639	45075.571393706348	5.3279343598486864e-05	80.232785057150821	103.05408419291888	107.29662670755506	79.91068370438677	102.85667237518113	107.27203267026742	80.0	103.0	107.0	80.0	103.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
10	3	1572.5	556.0	136	0.015415468840017842	0.70211518994085997	0.010958231537386402	0.015906258421276277	1.8908036080483716e-05	0.015055296698696619	1149.9974441390636	0.00063935212318184237	79.830399150098643	102.45022006374261	106.98451965396873	79.605795027723133	102.31318189948131	106.83759613664819	80.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
11	3	1718.5	555.0	136	0.014200993573277415	0.38334487719111299	0.0054779129737087089	0.014733725199002993	1.283172187292379e-05	0.014690581720908629	0.0	0.0	79.177345378735239	102.20166782487838	107.02974287699791	79.276827371695177	102.10514947295663	106.94375324002074	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
12	3	1846.5	556.0	136	0.015408532946234368	0.77473493526559756	0.012062192220164428	0.015906258421276277	1.2152134053871825e-05	0.015012153220602257	0.0	0.0	79.202805859294415	102.70944226669417	107.21078330238636	79.044701986754973	102.51986754966887	107.00378429517502	79.0	103.0	107.0	79.0	103.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
13	3	1988.5	560.0	136	0.015583737672219267	0.27758538014811657	0.004406537908640787	0.015906258421276277	1.235654586557251e-05	0.015180777799340002	65470.790900811291	5.3279343598486864e-05	79.166986564299421	102.84856046065259	107.27082533589251	79.048159893797475	102.76576443690537	107.10841507485803	79.0	103.0	107.0	79.0	103.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
14	3	2121.5	561.0	136	0.014595857987126652	0.039533272950077254	0.0005774315559515167	0.014733725199002993	1.9477497547959833e-05	0.014733725199002993	9324.2469958545062	5.3279343598486864e-05	79.247978436657675	102.28301886792453	107.133423180593	79.171132190602989	102.33793753813724	107.02806900759971	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
15	3	2269.5	559.0	136	0.013415516725521642	0.019766636475038627	0.00027960707623730062	0.014094501614061202	1.022135078562622e-05	0.01405135813596684	0.0	0.0	79.183288409703508	102.17520215633424	106.82749326145553	78.905478856397437	101.98402000217415	106.87498641156647	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
16	3	2389.5	553.0	136	0.014338080888727497	0.24742927167137302	0.0036561802084849855	0.015055296698696619	1.3054422739135e-05	0.014690581720908629	14589.556283270998	0.00010655868719697373	79.428079242032737	102.27906976744185	107.06266149870801	79.209061946902651	102.14853097345133	107.00566371681415	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
17	3	2535.5	557.0	136	0.014586626998313371	0.31024561777398901	0.0047149404527514248	0.015180777799340002	1.3482397998223156e-05	0.014690581720908629	0.0	0.0	79.539584406663238	102.34896101665808	107.35153700841491	79.298316082187554	102.10621041248262	107.25343735516762	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
18	3	2670.5	557.0	136	0.013627247393323919	0.25632692205232033	0.0036010458245426444	0.014094501614061202	1.3113858306101736e-05	0.01405135813596684	0.0	0.0	79.114113489918935	102.03741425898981	107.50197464144668	79.089339446912163	101.81738071356928	107.43244017767589	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38
