Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
6	4	2456.0	1492.0	380	0.024102977694999573	0.27178787690908718	0.023528417036465812	0.021299408090677294	0.0091301066207384665	0.00073078482838409445	0.0067174193110695214	0.059182562809570065	78.603325475882698	77.322839834740066	68.156616733835193	54.360511976387784	55.383916070685281	52.83063722707837	60.0	61.0	56.0	54.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
7	4	2843.0	1490.0	380	0.010380669719784	0.2163942105661989	0.0095615504473392822	0.0046523534558350751	0.0059817794427030483	0.00096608433148611653	0.020296832787688786	0.030380060760121522	66.576594931873174	66.450496625493443	60.878804278619633	54.420469630502247	55.414931120273586	53.087024940878599	56.0	56.0	54.0	54.0	55.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
8	4	3230.0	1488.0	380	0.0086718940692994059	0.2216573322035533	0.0069164045938225217	0.0046523534558350751	0.0038735686778022236	0.0018602044917572563	0.040671854551766327	0.021720710108086884	62.825708602685232	63.140073346593738	58.722277473893584	54.645218391821921	55.77452759215825	53.35274593972651	55.0	56.0	54.0	55.0	56.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
9	4	3628.0	1491.0	380	0.0067275608401191414	0.17732035464070928	0.004456754501511115	0.0046523534558350751	0.003700519936025643	0.0018602044917572563	0.10406717897694916	0.012145135401381913	61.303263403263401	61.422999222999223	57.980885780885778	54.936451712847827	55.720065985044506	53.998568091039267	55.0	56.0	54.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
10	4	4005.0	1483.0	380	0.0042648233043280125	0.1738276809886953	0.0020393023115902304	0.0046523534558350751	0.0010507688532217048	0.0018602044917572563	0.37300693779923511	0.0063515682586920731	57.654103753021836	57.933380890104232	55.541869773709031	55.175797144953641	55.559785871522912	54.047403442065239	55.0	56.0	54.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
11	4	4392.0	1481.0	380	0.011707934359068185	0.36106805546944426	0.010980004049245517	0.0019464764883488615	0.0049516210276552815	0.00073078482838409445	0.040675503577096518	0.027720944330777552	63.328506286608281	62.532367923988325	58.758094365901592	54.936505369388016	55.056281537068188	53.790496830120325	55.0	56.0	54.0	55.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
12	4	4827.0	1498.0	380	0.0	0.088253732063019688	0.0	-0.002061364135693724	3.4154490156059978e-05	-0.0022966636387957463	40246.943485138843	1.3777805333388445e-05	54.651471391772695	54.574974631176332	53.01436265709156	54.438292406497922	54.373819418209294	52.801700037778616	54.0	54.0	53.0	54.0	54.0	53.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
1	5	522.0	1891.0	380	0.086713602058441711	0.45202223737780811	0.096290103226374629	0.27954256497257068	0.015808492443248667	-0.018877058308870806	0.024193095214968575	0.040217413768160869	117.37391794684224	108.97436600829066	86.34366617898074	50.324005280030171	50.395159972342697	48.249242567100382	137.0	126.0	97.0	50.0	50.0	48.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
2	5	909.0	1889.0	380	0.084130376287123151	0.37807675615351233	0.091492564508314028	0.28757784329288316	0.011645349391538733	-0.011033921053968847	0.021619737540817054	0.03890852226148897	125.07166284027549	116.5628074778616	91.890328340803904	51.591477530765737	51.932331993043789	49.621805735553117	139.0	128.0	99.0	51.0	52.0	50.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
3	5	1296.0	1886.0	380	0.085065121198276056	0.36848051473880727	0.088691507753106039	0.28548765846406882	0.011351540461300696	-0.0071123524265178668	0.021304212969531593	0.038694966278821449	124.12391332797398	116.41187907794126	92.24661145282208	53.095590801989701	53.539281350903224	51.03700148355005	138.0	128.0	99.0	53.0	53.0	51.0	K000134_027_078	K000134_027_078_2012-05-05_08-23-04
