------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9400.61
    Constant term                 :  3528.72
    Variance term                 :  -14849.3
    Least squares term            :  1919.92

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final         Lower      Upper   95% Conf.  95%       Standard
Parameter                       Value         Bound      Bound   Interval   t-value   Deviation
------------
Flowsheet.my_model.pos(86)      1.64598       0          6.5     0.45       3.7       0.23
Flowsheet.my_model.pos(87)      0.472423      0          6.5     1.1        0.45      0.54
Flowsheet.my_model.pos(88)      1.44918       0          6.5     0.5        2.9       0.25
Flowsheet.my_model.pos(89)      0.240619      0          6.5     1.3        0.19      0.65
Flowsheet.my_model.pos(90)      1.67622       0          6.5     0.44       3.9       0.22
Flowsheet.my_model.pos(91)      1.50114       0          6.5     0.5        3         0.25
Flowsheet.my_model.pos(92)      1.73296       0          6.5     0.42       4.2       0.21
Flowsheet.my_model.pos(93)      0.764069      0          6.5     0.85       0.9       0.43
Flowsheet.my_model.pos(94)      1.22984       0          6.5     0.61       2         0.31
Flowsheet.my_model.pos(95)      2.42436       0          6.5     0.26       9.2       0.13
Flowsheet.my_model.pos(96)      0             0[*]       6.5   
Flowsheet.my_model.pos(97)      1.12918       0          6.5     0.65       1.7       0.33
Flowsheet.my_model.pos(98)      3.53489       0          6.5     0.19       19        0.095
Flowsheet.my_model.pos(99)      0.582764      0          6.5     0.99       0.59      0.51
Flowsheet.my_model.pos(100)     2.1419        0          6.5     0.31       6.9       0.16
Flowsheet.my_model.pos(101)     0.906935      0          6.5     0.76       1.2       0.39
Flowsheet.my_model.pos(102)     1.27763       0          6.5     0.57       2.2       0.29
Flowsheet.my_model.pos(103)     2.03232       0          6.5     0.35       5.9       0.18
Flowsheet.my_model.pos(104)     1.96996       0          6.5     0.36       5.4       0.19
Flowsheet.my_model.pos(105)     1.91807       0          6.5     0.37       5.1       0.19
Flowsheet.my_model.pos(106)     1.41301       0          6.5     0.54       2.6       0.27
Flowsheet.my_model.pos(107)     1.57959       0          6.5     0.49       3.3       0.25
Flowsheet.my_model.pos(108)     1.27301       0          6.5     0.59       2.1       0.3
Flowsheet.my_model.pos(109)     1.50174       0          6.5     0.5        3         0.26
Flowsheet.my_model.pos(110)     1.23375       0          6.5     0.59       2.1       0.3
Flowsheet.my_model.pos(111)     1.66385       0          6.5     0.43       3.8       0.22
Flowsheet.my_model.pos(112)     1.51344       0          6.5     0.49       3.1       0.25
Flowsheet.my_model.pos(113)     1.75926       0          6.5     0.41       4.3       0.21
Flowsheet.my_model.pos(114)     1.38834       0          6.5     0.53       2.6       0.27
Flowsheet.my_model.pos(115)     0.424139      0          6.5     1.1        0.39      0.56
Flowsheet.my_model.pos(116)     0.452026      0          6.5     1.1        0.41      0.56
Flowsheet.my_model.pos(117)     2.07598       0          6.5     0.33       6.3       0.17
Flowsheet.my_model.pos(118)     0.863365      0          6.5     0.77       1.1       0.39
Flowsheet.my_model.pos(119)     0             0[*]       6.5   
Flowsheet.my_model.pos(120)     0             0[*]       6.5   
Flowsheet.my_model.pos(121)     0.442512      0          6.5     1.1        0.41      0.55
Flowsheet.my_model.pos(122)     2.912         0          6.5     0.22       13        0.11
Flowsheet.my_model.pos(123)     1.29989       0          6.5     0.57       2.3       0.29
Flowsheet.my_model.pos(124)     0             0[*]       6.5   
Flowsheet.my_model.pos(125)     0.419412      0          6.5     1.1        0.38      0.56
Flowsheet.my_model.pos(126)     1.58727       0          6.5     0.46       3.5       0.23
Flowsheet.my_model.pos(127)     1.74769       0          6.5     0.41       4.2       0.21
Flowsheet.my_model.pos(128)     1.49449       0          6.5     0.5        3         0.26
Flowsheet.my_model.pos(129)     1.00937       0          6.5     0.71       1.4       0.36
Flowsheet.my_model.pos(130)     1.74057       0          6.5     0.41       4.2       0.21
Flowsheet.my_model.pos(131)     1.61523       0          6.5     0.45       3.6       0.23
Flowsheet.my_model.pos(132)     1.38046       0          6.5     0.53       2.6       0.27
Flowsheet.my_model.pos(133)     1.51721       0          6.5     0.48       3.2       0.24
Flowsheet.my_model.pos(134)     0.519664      0          6.5     1          0.51      0.52
Flowsheet.my_model.pos(135)     1.92262       0          6.5     0.37       5.2       0.19
Flowsheet.my_model.pos(136)     2.06817       0          6.5     0.35       5.9       0.18
Flowsheet.my_model.pos(137)     1.28257       0          6.5     0.61       2.1       0.31
Flowsheet.my_model.pos(138)     1.89211       0          6.5     0.4        4.8       0.2
Flowsheet.my_model.pos(139)     0.0588979     0          6.5     1.5        0.04      0.76
Flowsheet.my_model.pos(140)     3.71598       0          6.5     0.18       21        0.092
Flowsheet.my_model.pos(141)     1.32549       0          6.5     0.57       2.3       0.29
Flowsheet.my_model.pos(142)     0             0[*]       6.5   
Flowsheet.my_model.pos(143)     0             0[*]       6.5   
Flowsheet.my_model.pos(144)     0             0[*]       6.5   
Flowsheet.my_model.pos(145)     0.452548      0          6.5     1.1        0.43      0.54
