------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9917.45
    Constant term                 :  3528.72
    Variance term                 :  -15366.9
    Least squares term            :  1920.74

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final      Lower      Upper   95% Conf.  95%      Standard
Parameter                       Value      Bound      Bound   Interval   t-value  Deviation
------------
Flowsheet.my_model.pos(124)     0.602064   0.5        6.5     1.2        0.5      0.62
Flowsheet.my_model.pos(125)     0.973042   0.5        6.5     0.91       1.1      0.46
Flowsheet.my_model.pos(126)     2.10881    0.5        6.5     0.44       4.8      0.22
Flowsheet.my_model.pos(127)     2.28061    0.5        6.5     0.4        5.7      0.2
Flowsheet.my_model.pos(128)     1.99915    0.5        6.5     0.46       4.3      0.24
Flowsheet.my_model.pos(129)     1.3053     0.5        6.5     0.71       1.8      0.36
Flowsheet.my_model.pos(130)     2.28167    0.5        6.5     0.4        5.7      0.2
Flowsheet.my_model.pos(131)     2.13647    0.5        6.5     0.43       5        0.22
Flowsheet.my_model.pos(132)     1.89474    0.5        6.5     0.49       3.9      0.25
Flowsheet.my_model.pos(133)     2.04809    0.5        6.5     0.45       4.6      0.23
Flowsheet.my_model.pos(134)     1.09152    0.5        6.5     0.83       1.3      0.42
Flowsheet.my_model.pos(135)     2.46857    0.5        6.5     0.37       6.6      0.19
Flowsheet.my_model.pos(136)     2.60532    0.5        6.5     0.36       7.3      0.18
Flowsheet.my_model.pos(137)     1.73204    0.5        6.5     0.54       3.2      0.28
Flowsheet.my_model.pos(138)     2.38087    0.5        6.5     0.39       6.2      0.2
Flowsheet.my_model.pos(139)     0.628999   0.5        6.5     1.2        0.53     0.61
Flowsheet.my_model.pos(140)     5.74389    0.5        6.5     0.5        12       0.25
Flowsheet.my_model.pos(141)     1.76926    0.5        6.5     0.53       3.3      0.27
Flowsheet.my_model.pos(142)     0.729128   0.5        6.5     1.1        0.67     0.56
Flowsheet.my_model.pos(143)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(144)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(145)     1.06652    0.5        6.5     0.85       1.3      0.43
