	Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	ExptTime	ORF	Gene	ID
20	9	2	3614.0	730.0	380	0.0101191142163	0.177017242923	0.00183175910282	0.00946804224356	2.70910813561e-05	0.00946804224356	11.4408113416	0.001157335648	56.899750934	57.5463496264	56.4178471357	56.8844431423	57.4382538819	56.392725903	57.0	57.0	56.0	57.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C09
21	10	2	3996.0	725.0	380	0.0113629948891	0.147381183651	0.00180829012275	0.0124954907107	1.82442674032e-05	0.0105974469473	24.3850279296	0.000723334780003	57.5695522109	57.9289987847	56.9890156119	57.3322937455	57.643281327	56.7043396059	58.0	58.0	57.0	57.0	58.0	57.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C10
22	11	2	4361.0	741.0	380	0.00754821655918	0.14308939729	0.00109879629924	0.00857392208329	1.65626730867e-05	0.00833863753978	20.084340107	0.000785334904003	56.5042126041	56.6943815897	55.8724182755	56.5391751749	56.6327839859	55.7562665809	56.0	57.0	56.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C11
23	12	2	4775.0	705.0	380	0.00165579559582	0.170045673425	0.000498023612403	0.00190333301025	2.34880053793e-05	0.00162490498866	18.9323908841	0.000881779541337	55.6624939232	55.4321827905	53.9535731648	55.1788972169	55.0430040589	53.7950563178	56.0	55.0	54.0	55.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R02C12
24	1	3	517.0	1116.0	380	0.0	0.451732903466	0.0	-0.0129319648174	5.94996541493e-05	-0.0142966690243	15.8515540679	0.00157066980801	52.0460243389	52.0219751731	51.0378198676	50.6266224383	50.7996783394	50.2541621119	52.0	52.0	51.0	51.0	51.0	50.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C01
25	2	3	883.0	1113.0	380	0.0	0.367998291552	0.0	-0.00711235242652	2.63407971174e-05	-0.0101398008937	15.8187141071	0.00141911394934	52.5211816021	52.7269323649	52.3724143095	51.6640906019	52.0334634083	51.6839506442	52.0	53.0	52.0	52.0	52.0	52.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C02
26	3	3	1275.0	1106.0	380	0.0	0.368494292544	0.0	-0.0022966636388	3.45350592646e-05	-0.00508882756247	5.84912879746	0.00233533800401	53.4711633733	54.0670206203	53.4344469163	53.0003708956	53.6991818479	53.0736664121	53.0	54.0	53.0	53.0	54.0	53.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C03
27	4	3	1667.0	1105.0	380	0.0	0.363982061297	3.03483112724e-06	-0.00116725893502	2.53459202829e-05	-0.00140254347852	9.10777445515	0.00186000372001	54.1983874631	54.8963396169	54.0202324173	53.7613647441	54.6771946927	53.83975088	54.0	55.0	54.0	54.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C04
28	5	3	2059.0	1100.0	380	0.00121949566144	0.365793842699	0.000509275791549	0.00162490498866	1.32300144756e-05	0.00162490498866	185.350475903	0.000413334160002	54.2034501591	55.5110642385	53.9372492891	54.1247202972	55.4299276574	53.9522278465	54.0	56.0	54.0	54.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C05
29	6	3	2447.0	1103.0	380	0.00279452979704	0.361336722673	0.00100421493988	0.00186020449176	1.80637990667e-05	0.00186020449176	20.8032846694	0.00122622467467	54.6451231602	55.8770113628	53.9968352017	54.5892631783	55.8877994585	54.141604375	55.0	56.0	54.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C06
30	7	3	2841.0	1103.0	380	0.00460465567581	0.370932964088	0.00177585477038	0.00488765295894	1.42282671795e-05	0.00465235345584	87.375545678	0.000606223434669	55.3059151268	56.3037050794	54.5590119788	55.1140544921	56.2795676552	54.5362258531	55.0	56.0	54.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C07
31	8	3	3228.0	1101.0	380	0.00726962948795	0.322490200536	0.00237679536372	0.00667587831988	3.84906849571e-05	0.00582490163771	1.14749365573	0.00493245430935	55.864033495	57.0452011193	55.0539807318	55.8815735958	56.9496278521	55.1682799854	56.0	57.0	55.0	56.0	57.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C08
32	9	3	3615.0	1098.0	380	0.00852233392473	0.304269052983	0.00269399144766	0.00946804224356	2.68974753701e-05	0.00857392208329	7.3929279303	0.00188755933067	56.4078744793	57.2328608948	55.9804383264	56.2955848425	57.0994227323	55.8957749547	56.0	57.0	56.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C09
