Barcode	Row	Column	Col	ScreenID	Treatment	Medium	ORF	Screen.Name	Library.Name	MasterPlate.Number	Timeseries.order	Inoc.Time	TileX	TileY	XOffset	YOffset	Threshold	EdgeLength	EdgePixels	RepQuad	K	r	g	v	objval	tshift	t0	d0	nAUC	nSTP	nr	nr_t	maxslp	maxslp_t	Client	ExptDate	User	PI	Condition	Inoc	Gene	TrtMed	MDP	MDR	MDRMDP	glog_maxslp	DT	AUC	fit
K000347_027_022	3	8	8	MQFQFA0173	27	SDM_rhlk_CTGN	YIL131C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	1655	696	NA	0.0871836734694	0.0871836734694	2	0.114924467105042	12.8854294018401	0.0011	0.192782182665629	0.000244066528751896	0	-0.0212152777777778	0.00273934867306	0.231632853368701	0.1148170776146	4.3761529308739	-0.0172571066436807	0.101524523929697	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	FKH1	27_SDM_rhlk_CTGN	6.70703864254109	10.4636196907464	70.1799016066898	0.0959133540610339	2.29366134371499	0.453528815599713	70.1799016066898
K000347_027_022	3	10	10	MQFQFA0173	27	SDM_rhlk_CTGN	YKL110C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	2001	702	NA	0.101355102041	0.101355102041	2	0.0757226286995131	40.9421547136079	0.0011	0.0434690158342338	0.000303117837033075	0	-0.0212152777777778	0.000617446057525	0.140913306276703	0.0764567051976002	8.05967749165859	-0.0172571066436807	0.0422555491307736	0.916871281003227	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	KTI12	27_SDM_rhlk_CTGN	6.10514906598681	9.15623541929506	55.9001821180646	0.0485262128956012	2.62116458358252	0.284023595233926	55.9001821180646
K000347_027_022	3	12	12	MQFQFA0173	27	SDM_rhlk_CTGN	YBR057C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	2351	696	NA	0.0864653061224	0.0864653061224	2	0.120046381918126	10.1872962253922	0.00109991010314075	0.318598934581154	0.000352229624415768	0	-0.0212152777777778	0.00184368335713	0.257137531464016	0.122452187229782	4.64630858933113	-0.0172571066436807	0.153670562168459	0.786251633578024	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	MUM2	27_SDM_rhlk_CTGN	6.77006249704471	11.0043343907395	74.5000315636851	0.124032847537189	2.18095880657686	0.49124137149695	74.5000315636851
K000347_027_022	3	14	14	MQFQFA0173	27	SDM_rhlk_CTGN	YGR123C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	2699	696	NA	0.120359183673	0.120359183673	2	0.0692392225730617	20.077907079376	0.0011	0.119831057915563	0.000123060880976231	0	-0.0212152777777778	0.000548482050047	0.14539477456072	0.0693503804920668	8.46386466188953	-0.0172571066436807	0.059439148290541	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	PPT1	27_SDM_rhlk_CTGN	5.97601409716657	10.5620646816219	63.1190474325579	0.057850324324906	2.27228299801649	0.277384655468378	63.1190474325579
K000347_027_022	3	16	16	MQFQFA0173	27	SDM_rhlk_CTGN	YBR275C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	3047	696	NA	0.102955102041	0.102955102041	2	0.0448970580935423	8.90915672991064	0.0011	0.310429960974968	7.96847961784122e-05	0	-0.0212152777777778	0.000465535769972	0.0967847412432661	0.0450080895851783	8.0392298108567	-0.0172571066436807	0.0410893562889647	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	RIF1	27_SDM_rhlk_CTGN	5.35104548574954	8.30918440117886	44.4628236801886	0.0396620040644894	2.88837012650664	0.180588664896131	44.4628236801886
K000347_027_022	3	18	18	MQFQFA0173	27	SDM_rhlk_CTGN	YMR216C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	3396	696	NA	0.0939755102041	0.0939755102041	2	0.0788623210560999	12.9605061530088	9e-04	0.197693505569469	0.000217057934071447	0	-0.0212152777777778	0.000429441963309	0.160754175336808	0.0804375187008542	7.47258295339392	-0.0172571066436807	0.0831027790997724	0.790209804712121	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	SKY1	27_SDM_rhlk_CTGN	6.45326736044245	10.4112408347123	67.1865206603543	0.0677391039841915	2.30520073265247	0.314367005958209	67.1865206603543
K000347_027_022	3	20	20	MQFQFA0173	27	SDM_rhlk_CTGN	YBR082C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	3744	696	NA	0.0848	0.0848	2	0.116556113446784	8.98494801667162	9e-04	0.320404338658513	0.000535929994479241	0	-0.0212152777777778	0.00171654715011	0.23102448647943	0.121219466509335	5.29137377699662	0.418141718106996	0.146653662536148	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	UBC4	27_SDM_rhlk_CTGN	7.0168839599993	9.90360053795194	69.4924157609954	0.106735502819538	2.42336107035302	0.462013090333361	69.4924157609954
K000347_027_022	3	22	22	MQFQFA0173	27	SDM_rhlk_CTGN	YNL241C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	4092	696	NA	0.0785306122449	0.0785306122449	2	0.104644771455545	10.3472411045926	9e-04	0.220545028373588	0.00037172161217923	0	-0.0212152777777778	0.0005018934185	0.193554369055734	0.107313034418718	6.25272345523342	-0.0172571066436807	0.111804862426984	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	ZWF1	27_SDM_rhlk_CTGN	6.86135951279142	9.27069900699132	63.6095988218459	0.0792558711917748	2.5888015544352	0.399738712901557	63.6095988218459
K000347_027_022	3	24	24	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	4440	696	NA	0.0949224489796	0.0949224489796	2	0.136531399294095	32.3400137954998	0.0011	0.0545250472224092	0.000384866648565196	0	-0.0212152777777778	0.00283367272593	0.236226573074451	0.141191073364729	3.81536523130777	0.0381572892336782	0.0983453997782657	1.03561641502614	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	6.95558544425058	10.0831424645292	70.1341589585845	0.086227115286143	2.38021034458532	0.502334135874065	70.1341589585845
K000347_027_022	4	2	2	MQFQFA0173	27	SDM_rhlk_CTGN	YOR344C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	609	876	NA	0.0864979591837	0.0864979591837	2	0.105387921221419	36.8827760422099	0.0011	0.055547845896058	0.000159043972719191	0	-0.0212152777777778	0.00054442249263	0.204606539813791	0.105584976497687	9.09663043483278	-0.0172571066436807	0.0828478207690053	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	TYE7	27_SDM_rhlk_CTGN	6.58206219151472	11.0868416399408	72.9742811815652	0.0772934077436989	2.16472831302461	0.408351387732308	72.9742811815652
